Date,Ticker,Close,Return,log_Return,rf,
4/22/24,EFA,74.67157745,,,,
4/23/24,EFA,75.48606873,0.010907648,0.010848589,0.00021627,
4/24/24,EFA,75.34062195,-0.001926803,-0.001928662,0.000216667,
4/25/24,EFA,74.99154663,-0.004633295,-0.004644062,0.000217063,
4/26/24,EFA,75.59272766,0.008016651,0.007984688,0.000216667,
4/29/24,EFA,75.88362122,0.003848169,0.003840783,0.00021627,
4/30/24,EFA,74.92368317,-0.012650135,-0.012730829,0.000216667,
5/1/24,EFA,74.75884247,-0.002200115,-0.002202539,0.000216667,
5/2/24,EFA,75.76726532,0.013489011,0.013398844,0.000216667,
5/3/24,EFA,76.52357483,0.009982009,0.009932518,0.00021627,
5/6/24,EFA,77.04718018,0.006842406,0.006819103,0.00021627,
5/7/24,EFA,77.25080109,0.002642808,0.002639322,0.00021627,
5/8/24,EFA,77.16353607,-0.001129632,-0.001130271,0.00021627,
5/9/24,EFA,77.75502014,0.007665331,0.007636102,0.000216667,
5/10/24,EFA,77.90045166,0.001870381,0.001868634,0.000217063,
5/13/24,EFA,77.90045166,0,0,0.00021627,
5/14/24,EFA,78.48223877,0.007468341,0.007440591,0.000215873,
5/15/24,EFA,79.31613159,0.010625243,0.010569191,0.00021627,
5/16/24,EFA,78.88948822,-0.005379024,-0.005393543,0.00021627,
5/17/24,EFA,79.16098785,0.003441519,0.00343561,0.000216667,
5/20/24,EFA,79.21916199,0.000734884,0.000734614,0.00021627,
5/21/24,EFA,79.09310913,-0.001591191,-0.001592459,0.00021627,
5/22/24,EFA,78.34649658,-0.009439666,-0.009484502,0.00021627,
5/23/24,EFA,77.94894409,-0.005074285,-0.005087203,0.000216667,
5/24/24,EFA,78.58890533,0.008210005,0.008176487,0.000216667,
5/28/24,EFA,78.55981445,-0.000370165,-0.000370234,0.000216667,
5/29/24,EFA,77.31867218,-0.015798692,-0.015924821,0.000216667,
5/30/24,EFA,77.96833801,0.008402444,0.00836734,0.000216667,
5/31/24,EFA,78.71495819,0.009575941,0.009530382,0.000216667,
6/3/24,EFA,78.93797302,0.002833195,0.002829189,0.000219048,
6/4/24,EFA,78.84100342,-0.001228428,-0.001229183,0.000219048,
6/5/24,EFA,79.39369202,0.007010167,0.00698571,0.000218651,
6/6/24,EFA,79.66519928,0.003419759,0.003413925,0.000218651,
6/7/24,EFA,78.80222321,-0.010832535,-0.010891634,0.000219048,
6/10/24,EFA,78.74404144,-0.000738326,-0.000738599,0.000219048,
6/11/24,EFA,77.84924316,-0.011363378,-0.011428434,0.000219048,
6/12/24,EFA,78.76673126,0.011785447,0.011716539,0.000218651,
6/13/24,EFA,77.64205933,-0.014278515,-0.014381434,0.000218651,
6/14/24,EFA,76.78376007,-0.011054566,-0.011116122,0.000218651,
6/17/24,EFA,77.08958435,0.003982929,0.003975018,0.000219048,
6/18/24,EFA,77.39541626,0.003967227,0.003959379,0.000218254,
6/20/24,EFA,77.44474792,0.000637398,0.000637195,0.000218254,
6/21/24,EFA,76.90213776,-0.007006417,-0.007031077,0.000217857,
6/24/24,EFA,77.5138092,0.007953894,0.007922428,0.000218254,
6/25/24,EFA,77.7012558,0.002418235,0.002415316,0.000217857,
6/26/24,EFA,77.12905121,-0.007364161,-0.007391411,0.000218254,
6/27/24,EFA,77.18824005,0.0007674,0.000767106,0.000217857,
6/28/24,EFA,77.27703857,0.001150415,0.001149754,0.00021746,
7/1/24,EFA,77.4151535,0.00178727,0.001785675,0.000217063,
7/2/24,EFA,77.6026001,0.002421317,0.00241839,0.000217063,
7/3/24,EFA,78.49049377,0.011441545,0.011376586,0.000217063,
7/5/24,EFA,79.01337433,0.006661706,0.006639614,0.000216667,
7/8/24,EFA,78.61875153,-0.00499438,-0.005006893,0.000216667,
7/9/24,EFA,78.30305481,-0.00401554,-0.004023624,0.000216667,
7/10/24,EFA,79.40799713,0.014111101,0.014012466,0.000216667,
