Date,Price
2025-04-25,973.030029296875
2025-04-28,974.7736097721291
2025-04-29,975.9692316715518
2025-04-30,978.5624386809686
2025-05-01,981.0095265374173
2025-05-02,984.6390867170478
2025-05-05,987.9182665569141
2025-05-06,989.4487087160559
2025-05-07,991.9952607461797
2025-05-08,993.8503556266357
2025-05-09,996.3641755009295
2025-05-12,998.7734522606754
2025-05-13,999.0767451033545
2025-05-14,1001.1580567724834
2025-05-15,1003.8797529853812
2025-05-16,1006.7942289912997
2025-05-19,1008.5653642888152
2025-05-20,1011.160680378548
2025-05-21,1013.7867688714017
2025-05-22,1016.5695617364978
2025-05-23,1018.1346333149785
2025-05-26,1021.1557330225422
2025-05-27,1023.8557954353741
2025-05-28,1027.4519401458165
2025-05-29,1030.352716288494
2025-05-30,1033.0105363244054
2025-06-02,1034.2693039177948
2025-06-03,1035.9526456221154
2025-06-04,1039.0046359897058
2025-06-05,1040.826729104947
2025-06-06,1042.9273169621863
2025-06-09,1045.508250556557
2025-06-10,1047.779424673141
2025-06-11,1048.91704274826
2025-06-12,1051.4522188921474
2025-06-13,1054.253655096843
2025-06-16,1058.247923372372
2025-06-17,1061.1015542274672
2025-06-18,1063.886518727692
2025-06-19,1066.7520572536127
2025-06-20,1070.0303917978533
2025-06-23,1073.1480283161195
2025-06-24,1076.4095909289942
2025-06-25,1080.149883866119
2025-06-26,1082.2575138866093
2025-06-27,1085.018016353777
2025-06-30,1087.2926385055916
2025-07-01,1089.3283448810657
2025-07-02,1092.3823890882593
2025-07-03,1094.6684033789363
2025-07-04,1097.7693445518785
2025-07-07,1100.7461676360977
2025-07-08,1102.8757190797385
2025-07-09,1105.4712889684934
2025-07-10,1108.9646264025089
2025-07-11,1111.8102856181756
2025-07-14,1114.925925694131
2025-07-15,1117.5151455080886
2025-07-16,1122.002636866609
2025-07-17,1124.6527709626018
2025-07-18,1128.1800572442223
2025-07-21,1131.3726337115045
2025-07-22,1134.116006982483
2025-07-23,1136.4630684365115
2025-07-24,1139.0418017341644
2025-07-25,1141.3898385125738
2025-07-28,1144.6024814640855
2025-07-29,1146.470676169558
2025-07-30,1148.8247736514395
2025-07-31,1152.3742354861452
2025-08-01,1155.1624587685121
2025-08-04,1157.666568328645
2025-08-05,1160.6735596921835
2025-08-06,1162.8683964268848
2025-08-07,1165.9749947217895
2025-08-08,1169.4483391429767
2025-08-11,1173.0144936895515
2025-08-12,1175.0069037952835
2025-08-13,1179.1321162128559
2025-08-14,1182.7140208222122
2025-08-15,1185.6808378717287
2025-08-18,1187.4734907473717
2025-08-19,1190.7008811298765
2025-08-20,1193.3170979110234
2025-08-21,1196.9540284644197
2025-08-22,1201.497645001518
2025-08-25,1204.616548642352
2025-08-26,1207.3028946836316
2025-08-27,1211.7231027126575
2025-08-28,1215.27117833824
2025-08-29,1216.2370012411627
2025-09-01,1218.8360264128971
2025-09-02,1222.107186233962
2025-09-03,1225.7811071774395
2025-09-04,1228.2226079196369
2025-09-05,1231.646825269094
2025-09-08,1234.7017278174346
2025-09-09,1239.7930265115253
2025-09-10,1245.660810913964
2025-09-11,1250.092424858596
2025-09-12,1252.7738493871007
2025-09-15,1255.8436742351334
2025-09-16,1258.3916287759032
2025-09-17,1261.5421973189666
2025-09-18,1265.7652674998374
2025-09-19,1268.2000960650507
2025-09-22,1272.5690488729808
2025-09-23,1274.5522727195023
2025-09-24,1277.057337621205
2025-09-25,1280.0681007278483
2025-09-26,1282.782458808582
2025-09-29,1285.3085411014176
2025-09-30,1289.2865929795114
2025-10-01,1292.456868134974
2025-10-02,1296.106793784728
2025-10-03,1299.4861444016328
2025-10-06,1302.8943078589514
2025-10-07,1305.0359086774672
2025-10-08,1307.586518665397
2025-10-09,1311.4001346528973
2025-10-10,1312.05883565968
2025-10-13,1314.2435419191422
2025-10-14,1316.1822835561136
2025-10-15,1319.3272503530352
2025-10-16,1322.7654690398351
2025-10-17,1325.3675395175728
2025-10-20,1326.7672062505749
