0,1,2,3,4,5,6,7,8,9,10
2025-04-17 19:57:54.922944,2025-04-18 19:57:54.922944,2025-04-21 19:57:54.922944,2025-04-22 19:57:54.922944,2025-04-23 19:57:54.922944,2025-04-24 19:57:54.922944,2025-04-25 19:57:54.922944,2025-04-28 19:57:54.922944,2025-04-29 19:57:54.922944,2025-04-30 19:57:54.922944,2025-05-01 19:57:54.922944
100.0,100.02074940874725,99.84763537860938,99.95706975356765,100.0233978196168,100.0174374652575,100.18787350515304,100.02800296043448,99.81478344234102,99.82784148118479,99.79630455390961
100.0,100.03421093892344,100.04144649873354,100.15936498322957,100.11894908651652,100.12696028107926,100.09471742744402,100.04791515860259,100.00513129023659,100.19139861279366,100.19102393433464
100.0,99.94175618097573,99.8549572458444,100.0052685871946,99.8353528999526,99.83910906772665,100.04469688350812,100.01678929359531,99.91166202704986,99.88843105771059,100.04560326995441
100.0,99.82050528667399,99.86289697479002,99.71809716600555,99.69863596136986,100.0869945522664,99.8093231090174,99.78920073112052,99.84643332773452,99.95136475546286,99.97359270932645
100.0,100.19303114795407,100.20282725029314,100.16351111991827,100.29772220900435,100.38195371642749,100.52703350570084,100.61613673913128,100.82789845142196,100.91937733818925,100.79734455669887
100.0,100.22394055380333,100.10041997333477,100.30358319373886,100.4528521198383,100.20405542675361,100.1715540736364,100.28932474842637,100.27158575634164,100.35958282020366,100.25155021639614
100.0,99.87679895820226,99.9256800537581,99.77148845729377,99.84773309238375,99.7009556493229,99.80373497877841,99.95650909972204,100.08332413914943,100.13127961957294,99.88965199637336
100.0,99.997659527016,100.14158778567742,100.07047003725849,99.93967291922235,99.86514850256067,99.96169146513452,99.94287617513699,99.83710772120443,99.62686753871284,99.6776573517957
100.0,100.06306298834073,100.10699760839749,100.1329382741931,100.12345591783065,100.20138665786456,100.14080060983446,100.2246837220272,100.2395532045544,100.20860850364367,100.2427291042882
100.0,100.23702325914876,100.37480974047637,100.43092089203041,100.31165759948952,100.25932874878066,100.49707799035636,100.51815166835176,100.44027636849404,100.32956600836273,100.26888069104834
