Date,Price
2025-04-25,973.030029296875
2025-04-28,975.7691729753647
2025-04-29,977.5731769417175
2025-04-30,979.8112622131648
2025-05-01,981.8336571839928
2025-05-02,985.5953364824139
2025-05-05,989.1262072727869
2025-05-06,991.5697586841001
2025-05-07,993.5745226132964
2025-05-08,995.1794910134909
2025-05-09,996.659640178792
2025-05-12,998.7257210100875
2025-05-13,1001.4707247607696
2025-05-14,1004.3246617346746
2025-05-15,1006.518370019591
2025-05-16,1008.9763991198968
2025-05-19,1012.2498666216837
2025-05-20,1014.6192149651052
2025-05-21,1016.9506371299225
2025-05-22,1019.0299472623391
2025-05-23,1023.0085449303624
2025-05-26,1025.2749565336844
2025-05-27,1028.2571526909776
2025-05-28,1031.0891765693887
2025-05-29,1033.298265816039
2025-05-30,1036.3235316601863
2025-06-02,1038.895142465108
2025-06-03,1041.8431774724452
2025-06-04,1045.1145648004087
2025-06-05,1047.703565517417
2025-06-06,1049.3147502916843
2025-06-09,1050.920397591595
2025-06-10,1053.4381929742008
2025-06-11,1056.7740960561982
2025-06-12,1059.4174441311811
2025-06-13,1060.7403263352612
2025-06-16,1063.0953729869418
2025-06-17,1065.8160840325118
2025-06-18,1070.11287287021
2025-06-19,1072.0849151952161
2025-06-20,1074.8520967123918
2025-06-23,1077.081580164373
2025-06-24,1079.6027532199519
2025-06-25,1082.8542378149236
2025-06-26,1085.1631385594503
2025-06-27,1087.0969999499282
2025-06-30,1089.498530335366
2025-07-01,1091.5526875310957
2025-07-02,1094.7207397367206
2025-07-03,1096.85225463451
2025-07-04,1100.7093823240368
2025-07-07,1104.583979991684
2025-07-08,1107.2538447676811
2025-07-09,1109.1502434495844
2025-07-10,1111.6976457657638
2025-07-11,1114.2676708130884
2025-07-14,1117.0293796436065
2025-07-15,1119.5052719525415
2025-07-16,1122.341128437795
2025-07-17,1125.414885474898
2025-07-18,1128.7543167373094
2025-07-21,1131.6721968562208
2025-07-22,1134.2888437955623
2025-07-23,1136.1651985799945
2025-07-24,1138.692136696253
2025-07-25,1141.373492904099
2025-07-28,1143.0656493012082
2025-07-29,1146.5164153747278
2025-07-30,1149.5079817440828
2025-07-31,1152.4459750413919
2025-08-01,1154.4052305904747
2025-08-04,1156.6135144190607
2025-08-05,1159.8583615976984
2025-08-06,1163.019803935648
2025-08-07,1164.4381345120773
2025-08-08,1166.33792865787
2025-08-11,1168.7005287863337
2025-08-12,1172.448921295176
2025-08-13,1174.8114674705262
2025-08-14,1177.0348498163548
2025-08-15,1179.428327083467
2025-08-18,1180.7840780671636
2025-08-19,1182.7008216752863
2025-08-20,1187.1243264135826
2025-08-21,1190.829126774186
2025-08-22,1195.0142276878494
2025-08-25,1197.920523267426
2025-08-26,1201.2297890615716
2025-08-27,1204.4933830142604
2025-08-28,1208.6009495460119
2025-08-29,1209.8873445062866
2025-09-01,1212.3378568804746
2025-09-02,1216.0581780275488
2025-09-03,1219.8197888802497
2025-09-04,1223.595830475846
2025-09-05,1226.0382055638977
2025-09-08,1230.5744834873224
2025-09-09,1233.3604919959553
2025-09-10,1236.3770372638176
2025-09-11,1239.428380833198
2025-09-12,1242.6716964319312
2025-09-15,1245.8999991330015
2025-09-16,1248.689315631271
2025-09-17,1250.7885137844705
2025-09-18,1253.6427759743306
2025-09-19,1255.814078015364
2025-09-22,1259.1749673891347
2025-09-23,1261.3598053059052
2025-09-24,1264.6348941560393
2025-09-25,1267.5155197406852
2025-09-26,1271.229009071391
2025-09-29,1274.8281566912249
2025-09-30,1277.9002924793124
2025-10-01,1282.0909768808829
2025-10-02,1284.4451650527287
2025-10-03,1288.9897759582543
2025-10-06,1291.6449051738418
2025-10-07,1295.1771059042367
2025-10-08,1297.9452855915436
2025-10-09,1301.4014815500864
2025-10-10,1303.2828788292873
2025-10-13,1304.5924870337026
2025-10-14,1309.363059904724
2025-10-15,1314.0755070381317
2025-10-16,1316.4948151672743
2025-10-17,1320.868945475235
2025-10-20,1323.5528314771952
2025-10-21,1328.0791557971033
2025-10-22,1330.8325511958033
2025-10-23,1333.9087580662153
2025-10-24,1337.523883442368
2025-10-27,1341.2761126789023
2025-10-28,1344.2985272096587
2025-10-29,1349.5031585207576
2025-10-30,1353.3666453870992
2025-10-31,1357.3536247525624
2025-11-03,1359.5198062300972
2025-11-04,1362.5366386076678
2025-11-05,1364.717272271264
2025-11-06,1369.204597090137
2025-11-07,1373.1868299763064
2025-11-10,1377.3325488236333
2025-11-11,1379.2468943452081
2025-11-12,1381.8020394585392
2025-11-13,1385.317258051577
2025-11-14,1388.3955045407663
2025-11-17,1393.4098993922353
2025-11-18,1395.6458170550686
2025-11-19,1400.1304052590153
2025-11-20,1406.1383981543227
2025-11-21,1408.5403556689262
2025-11-24,1412.7612730667513
2025-11-25,1416.7940920512308
2025-11-26,1420.3390366067622
2025-11-27,1423.5250660265488
2025-11-28,1428.3365872010359
2025-12-01,1430.9097865343385
2025-12-02,1434.2984431928862
2025-12-03,1437.5844749592907
2025-12-04,1441.1306254314566
2025-12-05,1445.2475254507565
2025-12-08,1448.1822591798093
2025-12-09,1452.9970944952647
2025-12-10,1457.8054814405448
2025-12-11,1461.0590816721844
2025-12-12,1463.4740839076999
2025-12-15,1468.3449070911843
2025-12-16,1471.368212107854
2025-12-17,1473.6782518673133
2025-12-18,1476.4735971858854
2025-12-19,1480.1593983648213
2025-12-22,1484.217078923379
2025-12-23,1489.322984794206
2025-12-24,1494.2987462608032
2025-12-25,1497.6337501429737
2025-12-26,1501.8064152348381
2025-12-29,1505.5015326362197
