Ticker,Sharpe
PLTR,2.2092270135898264
GLD,1.883970139476553
NFLX,1.3259110844707127
XLU,1.1782504277177166
V,1.1537287568246104
XLF,0.9718844841982031
TSLA,0.8386550089519794
MA,0.6335250254242376
PANW,0.6314338817338822
NVDA,0.5230106091620769
XLP,0.5223405437960006
XLRE,0.4531549978109138
SPY,0.3072702399676813
EEM,0.2984223438425485
XLI,0.16619555956011223
NOW,0.15311065454006664
QQQ,0.14912465679066694
EFA,0.13875031138781233
IEF,0.09811507736801349
LQD,0.07438734010519953
XLE,-0.08708006264772929
TLT,-0.13436978917446998
XLV,-0.2491404958189318
MSFT,-0.6569528570298042
AMD,-1.1618842964083986
