Date,Ticker,log_Return,rf
2024/4/23,EFA,0.010848588545870844,0.00021626984126984128
2024/4/24,EFA,-0.001928662,0.00021666666666666668
2024/4/25,EFA,-0.004644062,0.00021706349206349206
2024/4/26,EFA,0.007984688004554635,0.00021666666666666668
2024/4/29,EFA,0.0038407832567914765,0.00021626984126984128
2024/4/30,EFA,-0.012730829,0.00021666666666666668
2024/5/1,EFA,-0.002202539,0.00021666666666666668
2024/5/2,EFA,0.013398844268285663,0.00021666666666666668
2024/5/3,EFA,0.009932517626551588,0.00021626984126984128
2024/5/6,EFA,0.006819102707924234,0.00021626984126984128
2024/5/7,EFA,0.002639322007729662,0.00021626984126984128
2024/5/8,EFA,-0.001130271,0.00021626984126984128
2024/5/9,EFA,0.007636101941577726,0.00021666666666666668
2024/5/10,EFA,0.0018686340954075758,0.00021706349206349206
2024/5/13,EFA,0,0.00021626984126984128
2024/5/14,EFA,0.007440590667262145,0.0002158730158730159
2024/5/15,EFA,0.010569191342552806,0.00021626984126984128
2024/5/16,EFA,-0.005393543,0.00021626984126984128
2024/5/17,EFA,0.003435610035283317,0.00021666666666666668
2024/5/20,EFA,0.0007346139775122285,0.00021626984126984128
2024/5/21,EFA,-0.001592459,0.00021626984126984128
2024/5/22,EFA,-0.009484502,0.00021626984126984128
2024/5/23,EFA,-0.005087203,0.00021666666666666668
2024/5/24,EFA,0.00817648652256056,0.00021666666666666668
2024/5/28,EFA,-0.000370234,0.00021666666666666668
2024/5/29,EFA,-0.015924821,0.00021666666666666668
2024/5/30,EFA,0.008367340218552954,0.00021666666666666668
2024/5/31,EFA,0.009530381954987474,0.00021666666666666668
2024/6/3,EFA,0.0028291891382315783,0.00021904761904761904
2024/6/4,EFA,-0.001229183,0.00021904761904761904
2024/6/5,EFA,0.006985709988824146,0.00021865079365079363
2024/6/6,EFA,0.0034139245491955597,0.00021865079365079363
2024/6/7,EFA,-0.010891634,0.00021904761904761904
2024/6/10,EFA,-0.000738599,0.00021904761904761904
2024/6/11,EFA,-0.011428434,0.00021904761904761904
2024/6/12,EFA,0.01171653909938776,0.00021865079365079363
2024/6/13,EFA,-0.014381434,0.00021865079365079363
2024/6/14,EFA,-0.011116122,0.00021865079365079363
2024/6/17,EFA,0.00397501833242556,0.00021904761904761904
2024/6/18,EFA,0.003959378677632308,0.00021825396825396825
2024/6/20,EFA,0.0006371947093699707,0.00021825396825396825
2024/6/21,EFA,-0.007031077,0.00021785714285714287
2024/6/24,EFA,0.00792242846779656,0.00021825396825396825
2024/6/25,EFA,0.002415315618515374,0.00021785714285714287
2024/6/26,EFA,-0.007391411,0.00021825396825396825
2024/6/27,EFA,0.000767105814166796,0.00021785714285714287
2024/6/28,EFA,0.0011497539579321927,0.00021746031746031747
2024/7/1,EFA,0.001785674687830768,0.00021706349206349206
2024/7/2,EFA,0.00241838991008929,0.00021706349206349206
2024/7/3,EFA,0.011376585999308382,0.00021706349206349206
2024/7/5,EFA,0.006639614396841707,0.00021666666666666668
