Date,Price
2025-04-25,444.1000061035156
2025-04-28,444.24993923052045
2025-04-29,444.4029910008693
2025-04-30,444.5680673488013
2025-05-01,444.7327270697737
2025-05-02,444.8939032881933
2025-05-05,445.0889213747601
2025-05-06,445.27880555670055
2025-05-07,445.4462201305429
2025-05-08,445.60841503815976
2025-05-09,445.7874060816852
2025-05-12,445.9465052266146
2025-05-13,446.1231923671223
2025-05-14,446.2932253154877
2025-05-15,446.4584483494357
2025-05-16,446.6381457546854
2025-05-19,446.82684136389645
2025-05-20,446.9940113802199
2025-05-21,447.1868754023433
2025-05-22,447.35048705754673
2025-05-23,447.5242988306205
2025-05-26,447.68995658696434
2025-05-27,447.8725404794676
2025-05-28,448.0462683969253
2025-05-29,448.220494590872
2025-05-30,448.393470299465
2025-06-02,448.56458315089
2025-06-03,448.72125319617186
2025-06-04,448.8903884529291
2025-06-05,449.0421673654795
2025-06-06,449.20829127557533
2025-06-09,449.38026541872466
2025-06-10,449.5585372764662
2025-06-11,449.73992960365774
2025-06-12,449.9032768201775
2025-06-13,450.0663654502491
2025-06-16,450.25836856881557
2025-06-17,450.4195585934944
2025-06-18,450.60398676920704
2025-06-19,450.77065381243284
2025-06-20,450.9456798168433
2025-06-23,451.1280938498383
2025-06-24,451.2945151896182
2025-06-25,451.45322183569283
2025-06-26,451.62983433846347
2025-06-27,451.81202668491557
2025-06-30,451.9720104844009
2025-07-01,452.1275066091831
2025-07-02,452.31099870099723
2025-07-03,452.49078784484965
2025-07-04,452.6774198967772
2025-07-07,452.85575090425573
2025-07-08,453.0385692669969
2025-07-09,453.2264829475637
2025-07-10,453.4169835617291
2025-07-11,453.58476821218403
2025-07-14,453.7499618393855
2025-07-15,453.9135847055228
2025-07-16,454.11575580878804
2025-07-17,454.2756637383717
2025-07-18,454.44817748732686
2025-07-21,454.601450198352
2025-07-22,454.77771609840454
2025-07-23,454.94338560807444
2025-07-24,455.1342749397578
2025-07-25,455.29873717024657
2025-07-28,455.4903907396696
2025-07-29,455.67374386656076
2025-07-30,455.84396780023917
2025-07-31,456.023001666878
2025-08-01,456.20179318723046
2025-08-04,456.39673894209415
2025-08-05,456.5535931128721
2025-08-06,456.72384671160205
2025-08-07,456.88885615702566
2025-08-08,457.0760048264222
2025-08-11,457.25807583339974
2025-08-12,457.455535244301
2025-08-13,457.6272180376327
2025-08-14,457.806105867988
2025-08-15,457.97544175147976
2025-08-18,458.1482687910733
2025-08-19,458.32439745285274
2025-08-20,458.5162096111668
2025-08-21,458.67606838458323
2025-08-22,458.85147787275827
2025-08-25,459.01844560801607
2025-08-26,459.18102036918907
2025-08-27,459.35560475621594
2025-08-28,459.535751693787
2025-08-29,459.7198367082926
2025-09-01,459.87974503267446
2025-09-02,460.0498477083184
2025-09-03,460.2084725802618
2025-09-04,460.3811619633555
2025-09-05,460.56227068031615
2025-09-08,460.7508494983285
2025-09-09,460.91555619647573
2025-09-10,461.10145133528016
2025-09-11,461.29762656417796
2025-09-12,461.45298840047735
2025-09-15,461.61763923078325
2025-09-16,461.7956195159429
2025-09-17,461.96292717667905
2025-09-18,462.16177559430974
2025-09-19,462.3504385768557
2025-09-22,462.51650209063354
2025-09-23,462.6803020819734
2025-09-24,462.84253542884625
2025-09-25,463.01541528714193
2025-09-26,463.18772418199967
2025-09-29,463.36060342387447
2025-09-30,463.5446967956015
2025-10-01,463.72536524135734
2025-10-02,463.90972626912156
2025-10-03,464.0978859629028
2025-10-06,464.26510584983913
2025-10-07,464.43525888466104
2025-10-08,464.6005890224024
2025-10-09,464.78467262784346
2025-10-10,464.96041629189125
2025-10-13,465.1369289216657
2025-10-14,465.3106519230163
2025-10-15,465.4755731629755
2025-10-16,465.6508516840917
2025-10-17,465.8185146742474
2025-10-20,465.97520007581255
2025-10-21,466.16206601435283
2025-10-22,466.34271091585674
2025-10-23,466.50396734967774
2025-10-24,466.67522025191437
2025-10-27,466.87121197984845
2025-10-28,467.043438386276
2025-10-29,467.22116821330195
2025-10-30,467.3928210168296
2025-10-31,467.56384691495026
2025-11-03,467.76348711986805
2025-11-04,467.9459813254324
2025-11-05,468.1182701656821
2025-11-06,468.30317428354385
2025-11-07,468.47736866130424
2025-11-10,468.6499218908226
2025-11-11,468.83563522720993
2025-11-12,469.01753803274454
2025-11-13,469.2003998060197
2025-11-14,469.37674723471605
2025-11-17,469.5937712483184
2025-11-18,469.75774419913716
2025-11-19,469.92974194068466
2025-11-20,470.09765498041367
2025-11-21,470.29534053291746
2025-11-24,470.46816094927885
2025-11-25,470.65338822285236
2025-11-26,470.8244685310905
2025-11-27,470.98894069814855
2025-11-28,471.1629616448799
2025-12-01,471.3540734386379
2025-12-02,471.53398464505824
2025-12-03,471.7012760550424
2025-12-04,471.89176057466807
2025-12-05,472.0518466869579
2025-12-08,472.22274959148564
2025-12-09,472.4033852096746
2025-12-10,472.5835471262689
2025-12-11,472.7867106112854
2025-12-12,472.96492839665007
2025-12-15,473.14633406686085
2025-12-16,473.338475681661
2025-12-17,473.5300672786637
2025-12-18,473.7125559025175
2025-12-19,473.8939618197406
2025-12-22,474.0774265652536
2025-12-23,474.26967357596567
2025-12-24,474.44702295267524
2025-12-25,474.62403619414505
2025-12-26,474.81973788301957
2025-12-29,475.01029480035135
2025-12-30,475.1939353331879
2025-12-31,475.37479895986866
2026-01-01,475.55107086546224
2026-01-02,475.72804217726724
2026-01-05,475.9281328463658
2026-01-06,476.10251354620846
2026-01-07,476.2679501555536
2026-01-08,476.4290902419021
2026-01-09,476.60741483339666
