Date,Price
2025-04-25,973.030029296875
2025-04-28,975.3982933266115
2025-04-29,977.8120476510924
2025-04-30,980.2425162874305
2025-05-01,982.6507355223458
2025-05-02,985.034867418744
2025-05-05,987.5074074388699
2025-05-06,990.0021772211894
2025-05-07,992.4104617545262
2025-05-08,994.8340784240982
2025-05-09,997.3191944761771
2025-05-12,999.7780030932257
2025-05-13,1002.2731749851482
2025-05-14,1004.73113421581
2025-05-15,1007.2096695256703
2025-05-16,1009.730742203836
2025-05-19,1012.2611739482786
2025-05-20,1014.7332156066824
2025-05-21,1017.301534364033
2025-05-22,1019.7817102628206
2025-05-23,1022.312946090639
2025-05-26,1024.836095387091
2025-05-27,1027.3988753583333
2025-05-28,1029.9422178837503
2025-05-29,1032.4945680369715
2025-05-30,1035.0279627677123
2025-06-02,1037.5985887546929
2025-06-03,1040.126849245549
2025-06-04,1042.6544085774678
2025-06-05,1045.1707274503613
2025-06-06,1047.7394233340488
2025-06-09,1050.3098638004428
2025-06-10,1052.9006582554355
2025-06-11,1055.5124286881862
2025-06-12,1058.1079827187868
2025-06-13,1060.735381179695
2025-06-16,1063.4061771009106
2025-06-17,1066.0122318189117
2025-06-18,1068.656657461298
2025-06-19,1071.318073243022
2025-06-20,1073.9573991906625
2025-06-23,1076.6298278948723
2025-06-24,1079.2670937414755
2025-06-25,1081.9101669401896
2025-06-26,1084.6039836851237
2025-06-27,1087.2931830560863
2025-06-30,1090.0140157896997
2025-07-01,1092.7283004343983
2025-07-02,1095.475708183243
2025-07-03,1098.2268387678325
2025-07-04,1100.977919856211
2025-07-07,1103.6781952034223
2025-07-08,1106.4338613756097
2025-07-09,1109.1541419084704
2025-07-10,1111.9184873774393
2025-07-11,1114.6817503120108
2025-07-14,1117.4214069173652
2025-07-15,1120.2180016484867
2025-07-16,1123.0695763315296
2025-07-17,1125.7678064695567
2025-07-18,1128.5546718562287
2025-07-21,1131.3156660098382
2025-07-22,1134.0993846897459
2025-07-23,1136.900151125473
2025-07-24,1139.7837709222663
2025-07-25,1142.5906733096244
2025-07-28,1145.4859138239613
2025-07-29,1148.3309209088416
2025-07-30,1151.1664040548596
2025-07-31,1154.023356282977
2025-08-01,1156.8720497726908
2025-08-04,1159.7568998882002
2025-08-05,1162.631052875999
2025-08-06,1165.5147773145366
2025-08-07,1168.3698931787649
2025-08-08,1171.2581155070832
2025-08-11,1174.19650997855
2025-08-12,1177.1412838919234
2025-08-13,1180.0972124559948
2025-08-14,1182.982839546612
2025-08-15,1185.8896569428755
2025-08-18,1188.8034315947184
2025-08-19,1191.738869653398
2025-08-20,1194.7611649413482
2025-08-21,1197.698669533759
2025-08-22,1200.6664008627047
2025-08-25,1203.6361861985636
2025-08-26,1206.5927235043787
2025-08-27,1209.6051753545469
2025-08-28,1212.652827499052
2025-08-29,1215.678789629523
2025-09-01,1218.6772424609824
2025-09-02,1221.690498281439
2025-09-03,1224.7249472016852
2025-09-04,1227.7272572023737
2025-09-05,1230.782909334404
2025-09-08,1233.8764252815743
2025-09-09,1236.9279685910838
2025-09-10,1239.9712090407634
2025-09-11,1243.091562096116
2025-09-12,1246.11698561787
2025-09-15,1249.207737087814
2025-09-16,1252.3196141949013
2025-09-17,1255.4478365793987
2025-09-18,1258.604927880875
2025-09-19,1261.7733003399915
2025-09-22,1264.8906329935396
2025-09-23,1268.0137122593678
2025-09-24,1271.1617344937526
2025-09-25,1274.3363800570044
2025-09-26,1277.4819707392267
2025-09-29,1280.6260149152063
2025-09-30,1283.8337890713394
2025-10-01,1287.00806557137
2025-10-02,1290.20869839817
2025-10-03,1293.4102266429397
2025-10-06,1296.579413530852
2025-10-07,1299.7615842971838
2025-10-08,1302.9565555290203
2025-10-09,1306.2619447211703
2025-10-10,1309.4878462079519
2025-10-13,1312.6759868385557
2025-10-14,1315.9225440955804
2025-10-15,1319.15101049661
2025-10-16,1322.377226091355
2025-10-17,1325.607849024591
2025-10-20,1328.8166838753075
2025-10-21,1332.1356714818105
2025-10-22,1335.397426890574
2025-10-23,1338.6858094151148
2025-10-24,1341.9716457445245
2025-10-27,1345.3028350487607
2025-10-28,1348.664674264042
2025-10-29,1351.9946457659578
2025-10-30,1355.3142443554084
2025-10-31,1358.6872938020138
2025-11-03,1362.0950489791328
2025-11-04,1365.4223900171403
2025-11-05,1368.7878025910295
2025-11-06,1372.1678420117466
2025-11-07,1375.5354222924452
2025-11-10,1378.9395286530016
2025-11-11,1382.3755373708386
2025-11-12,1385.7785273306195
2025-11-13,1389.199214946113
2025-11-14,1392.6361685994784
2025-11-17,1396.186800119523
2025-11-18,1399.5750943085422
2025-11-19,1402.9865225937765
2025-11-20,1406.4015043792788
2025-11-21,1409.9426126398805
2025-11-24,1413.4320126130863
2025-11-25,1416.9182962357925
2025-11-26,1420.3788838065982
2025-11-27,1423.803436402753
2025-11-28,1427.3155042168203
2025-12-01,1430.9104499499115
2025-12-02,1434.5238108023798
2025-12-03,1437.9672747911623
2025-12-04,1441.5405146260043
2025-12-05,1445.1120501764965
2025-12-08,1448.707478271799
2025-12-09,1452.310090284127
2025-12-10,1455.9166624696966
2025-12-11,1459.4994298892098
2025-12-12,1463.157953454556
2025-12-15,1466.7773906933544
2025-12-16,1470.4039650679795
2025-12-17,1474.0954857181307
2025-12-18,1477.752464486843
2025-12-19,1481.400149232109
2025-12-22,1485.086022610428
2025-12-23,1488.7324546089674
2025-12-24,1492.4266196147835
2025-12-25,1496.13360016979
2025-12-26,1499.85535454536
2025-12-29,1503.5842303087766
2025-12-30,1507.31243303819
