Date,Price
2025-04-25,973.030029296875
2025-04-28,975.5304399789931
2025-04-29,978.505813964109
2025-04-30,980.7816908922028
2025-05-01,983.2402366847255
2025-05-02,985.674120438166
2025-05-05,987.7988701941232
2025-05-06,990.218584692283
2025-05-07,992.1126218380925
2025-05-08,995.3747243428402
2025-05-09,996.5697895589758
2025-05-12,998.4464937824276
2025-05-13,1001.1179336492952
2025-05-14,1004.479519456179
2025-05-15,1006.530252708805
2025-05-16,1008.299306709338
2025-05-19,1009.8873383430654
2025-05-20,1012.301247838964
2025-05-21,1014.3579977383456
2025-05-22,1017.4032656418458
2025-05-23,1020.2008775775228
2025-05-26,1022.206010989797
2025-05-27,1024.6194745237365
2025-05-28,1027.43789255965
2025-05-29,1029.3985059978202
2025-05-30,1030.7307551563833
2025-06-02,1032.7465381384957
2025-06-03,1034.0209407480793
2025-06-04,1035.126729961142
2025-06-05,1037.1987501429521
2025-06-06,1039.6381626735963
2025-06-09,1041.7840375990277
2025-06-10,1044.4909560647452
2025-06-11,1046.266592897947
2025-06-12,1048.7392119132253
2025-06-13,1051.1152475642282
2025-06-16,1053.039632829121
2025-06-17,1055.5454151893084
2025-06-18,1058.0599414068638
2025-06-19,1059.9534909608965
2025-06-20,1061.8883397293318
2025-06-23,1063.4201167444066
2025-06-24,1066.8696251043805
2025-06-25,1069.3666632202794
2025-06-26,1070.889929952301
2025-06-27,1072.8612229779958
2025-06-30,1074.3058715912161
2025-07-01,1076.7896255329501
2025-07-02,1079.6519251202512
2025-07-03,1082.7824276582758
2025-07-04,1085.486029218767
2025-07-07,1088.6927198630945
2025-07-08,1090.4106980962208
2025-07-09,1092.2982644701042
2025-07-10,1095.1613758672154
2025-07-11,1097.2181952528708
2025-07-14,1099.917837592149
2025-07-15,1102.7788025131626
2025-07-16,1105.842003743902
2025-07-17,1108.027403673396
2025-07-18,1110.4239776748552
2025-07-21,1113.0299104112303
2025-07-22,1115.028649592519
2025-07-23,1117.4981018974568
2025-07-24,1119.6514247352331
2025-07-25,1121.482718019415
2025-07-28,1123.6812758462147
2025-07-29,1126.067126583227
2025-07-30,1127.5840718266466
2025-07-31,1129.0281129695063
2025-08-01,1131.563661105956
2025-08-04,1134.5262764692566
2025-08-05,1136.462889240876
2025-08-06,1138.998886051641
2025-08-07,1141.8245347119853
2025-08-08,1144.4848364607153
2025-08-11,1147.0755641679982
2025-08-12,1149.6121352468815
2025-08-13,1151.4609600532726
2025-08-14,1154.8616690029048
2025-08-15,1158.284371085705
2025-08-18,1161.6994492595086
2025-08-19,1164.2283472483389
2025-08-20,1166.20294240965
2025-08-21,1168.0634353791656
2025-08-22,1170.818082255002
2025-08-25,1174.5361567790633
2025-08-26,1176.415939483411
2025-08-27,1179.0476024677264
2025-08-28,1182.0299510180641
2025-08-29,1185.322107203575
2025-09-01,1188.3077618467821
2025-09-02,1192.1482621734829
2025-09-03,1194.1875778951814
2025-09-04,1197.852094312425
2025-09-05,1200.5870986148843
2025-09-08,1202.3975899784682
2025-09-09,1204.1136979856803
2025-09-10,1206.3161776020243
2025-09-11,1209.1738829329154
2025-09-12,1213.3027748694544
2025-09-15,1216.0664805902302
2025-09-16,1217.2155493464015
2025-09-17,1219.0821831589765
2025-09-18,1221.7378724348673
2025-09-19,1224.1621165836611
2025-09-22,1227.1454999745438
2025-09-23,1229.5807616877491
2025-09-24,1233.1604839368067
2025-09-25,1235.5613935091344
2025-09-26,1237.465475257829
2025-09-29,1239.891799003031
2025-09-30,1242.442876618247
2025-10-01,1246.0659749089755
2025-10-02,1248.8301301759077
2025-10-03,1251.6726737033205
2025-10-06,1254.0414706718982
2025-10-07,1256.5054632924268
2025-10-08,1260.0877747089191
2025-10-09,1262.4044501099359
2025-10-10,1265.1346242740726
2025-10-13,1269.105187951728
2025-10-14,1272.5153545895646
2025-10-15,1275.315345639443
2025-10-16,1277.824680325701
2025-10-17,1280.8884781740749
2025-10-20,1282.8743350833822
2025-10-21,1284.910267777325
2025-10-22,1289.0599520967107
2025-10-23,1293.6521499963571
2025-10-24,1295.7389720071553
2025-10-27,1298.0833558432998
2025-10-28,1300.511851401389
2025-10-29,1302.815963531667
2025-10-30,1306.6494229402876
2025-10-31,1309.7277478789008
2025-11-03,1311.834231314658
2025-11-04,1313.6303246389464
2025-11-05,1316.739468405794
2025-11-06,1319.7908105761546
2025-11-07,1322.0241801239267
2025-11-10,1323.8871169483414
2025-11-11,1327.7924352373652
2025-11-12,1331.1430142609743
2025-11-13,1334.1267005839595
2025-11-14,1336.987329096725
2025-11-17,1339.904939416216
2025-11-18,1343.0169940608841
2025-11-19,1347.855113476932
2025-11-20,1351.4499632067893
2025-11-21,1353.8320040530316
2025-11-24,1358.6685097972882
2025-11-25,1361.7171405040292
2025-11-26,1366.3150105411457
2025-11-27,1369.6475393981495
2025-11-28,1373.4081351920065
2025-12-01,1376.1324153391993
2025-12-02,1378.6827728520595
2025-12-03,1381.14724059276
2025-12-04,1383.9718087202912
2025-12-05,1386.745780026765
2025-12-08,1390.108879701263
2025-12-09,1393.9851339966801
2025-12-10,1398.4288981121942
2025-12-11,1401.3658766685683
2025-12-12,1405.3743100967756
2025-12-15,1409.2932547065889
2025-12-16,1415.233282790527
2025-12-17,1417.3660226264226
2025-12-18,1420.221123564591
2025-12-19,1423.1837239449467
2025-12-22,1426.5335096932608
2025-12-23,1429.6990205625218
2025-12-24,1433.9122491835096
2025-12-25,1437.867133513118
2025-12-26,1440.8068823672231
2025-12-29,1444.6193723451145
2025-12-30,1447.7919743182822
