Date,Price
2025-04-25,93.77999877929688
2025-04-28,94.5786245448172
2025-04-29,95.39917095890405
2025-04-30,96.08044151773314
2025-05-01,96.73392289537124
2025-05-02,97.44554205331293
2025-05-05,98.19307029871312
2025-05-06,98.86571818515198
2025-05-07,99.5324019196595
2025-05-08,100.37423608889465
2025-05-09,100.90992612165886
2025-05-12,101.53933476503606
2025-05-13,102.45368798137964
2025-05-14,103.20303175894935
2025-05-15,103.8686571149336
2025-05-16,104.4738349357203
2025-05-19,105.27512777983993
2025-05-20,105.98270649530274
2025-05-21,106.64128924873876
2025-05-22,107.42307789574267
2025-05-23,108.00703341827108
2025-05-26,108.68727194772639
2025-05-27,109.469096170748
2025-05-28,110.24049744506287
2025-05-29,111.02944598489735
2025-05-30,111.60867909602774
2025-06-02,112.42487155326262
2025-06-03,113.19133421940437
2025-06-04,113.85391844769312
2025-06-05,114.52553541256339
2025-06-06,115.36033113234858
2025-06-09,116.24889691032494
2025-06-10,116.86923803761402
2025-06-11,117.6072412111497
2025-06-12,118.41053390143719
2025-06-13,119.21698719555026
2025-06-16,120.1412251380938
2025-06-17,120.87311720990496
2025-06-18,121.33392063298567
2025-06-19,122.10475501444141
2025-06-20,123.00614743634335
2025-06-23,123.67484429964578
2025-06-24,124.76970845315984
2025-06-25,125.42941226372767
2025-06-26,126.16811009608826
2025-06-27,127.00141157041507
2025-06-30,127.72143408453054
2025-07-01,128.83431998685188
2025-07-02,129.67298108185477
2025-07-03,130.57511013478904
2025-07-04,131.29281703931585
2025-07-07,132.13217473183417
2025-07-08,133.02625592276365
2025-07-09,134.047193622869
2025-07-10,135.13241362166053
2025-07-11,135.97488908445746
2025-07-14,137.08516021319932
2025-07-15,137.98258032267103
2025-07-16,139.29619079046844
2025-07-17,140.34297612097583
2025-07-18,141.20277791263226
2025-07-21,142.28207044697572
2025-07-22,142.9742846204022
2025-07-23,143.70383479239715
2025-07-24,144.58886957832863
2025-07-25,145.33183052613933
2025-07-28,146.38428585761977
2025-07-29,147.33311789119276
2025-07-30,148.11504283841504
2025-07-31,148.96077013675583
2025-08-01,150.153706654092
2025-08-04,151.29695726477274
2025-08-05,152.27517752894212
2025-08-06,152.91428467328052
2025-08-07,153.76060000235537
2025-08-08,154.76561485108476
2025-08-11,156.1057333800859
2025-08-12,157.08404107330034
2025-08-13,158.17537907449508
2025-08-14,159.28218363573646
2025-08-15,160.33942890103623
2025-08-18,161.74409115818224
2025-08-19,163.03632210491435
2025-08-20,163.85698606788534
2025-08-21,165.0226199020452
2025-08-22,166.07088714382363
2025-08-25,167.34360874727284
2025-08-26,168.37017249156756
2025-08-27,169.75063699625736
2025-08-28,171.0648567271559
2025-08-29,172.23594820726294
2025-09-01,173.53852320415302
2025-09-02,174.9340345170315
2025-09-03,176.00234854381725
2025-09-04,177.58911734369713
2025-09-05,178.48224026919692
2025-09-08,179.29465463822507
2025-09-09,180.37844586513214
2025-09-10,181.45324438327268
2025-09-11,182.88843321146373
2025-09-12,184.27566215249755
2025-09-15,185.60960222828845
2025-09-16,186.39735288324547
2025-09-17,187.72830090758234
2025-09-18,189.35650080401211
2025-09-19,190.5457583359968
2025-09-22,191.64999587424006
2025-09-23,192.93620338218258
2025-09-24,194.29622665511417
2025-09-25,195.19630693428198
2025-09-26,196.38529453675696
2025-09-29,197.7288373684123
2025-09-30,199.17581130681944
2025-10-01,200.23397891048717
2025-10-02,201.5883593508616
2025-10-03,203.11539066318457
2025-10-06,205.0937429595904
2025-10-07,206.40012064807996
2025-10-08,207.8288948958218
2025-10-09,209.06536513951104
2025-10-10,210.60647532388816
2025-10-13,212.63949095711104
2025-10-14,213.9967589845802
2025-10-15,215.21389855490008
2025-10-16,216.69857553463723
2025-10-17,217.8541157238994
2025-10-20,218.99018099018917
2025-10-21,220.55716382963885
2025-10-22,222.75524717686775
2025-10-23,225.05997340219432
2025-10-24,226.82465436613515
2025-10-27,228.11321685528787
2025-10-28,229.12944014329068
2025-10-29,230.65739223179892
2025-10-30,232.3711617253279
2025-10-31,233.94548630973873
2025-11-03,235.54667939785173
2025-11-04,236.58049649019136
2025-11-05,238.4384183454221
2025-11-06,240.7336156344864
2025-11-07,241.97850194646577
2025-11-10,243.9699694859993
2025-11-11,245.69303098088025
2025-11-12,247.54867583582924
2025-11-13,249.05862454739628
2025-11-14,250.0158375294304
2025-11-17,251.0711362080393
2025-11-18,252.61442490988114
2025-11-19,254.07177960146126
2025-11-20,256.2527780354495
2025-11-21,258.01963500286195
2025-11-24,259.69439458373427
2025-11-25,261.7202003500646
2025-11-26,263.5865847107988
2025-11-27,265.31733741969083
2025-11-28,266.64889988477984
2025-12-01,268.54900247811406
2025-12-02,270.4610215089586
2025-12-03,271.65234353062124
2025-12-04,273.4388316297722
2025-12-05,274.9399918885376
2025-12-08,276.3982173678212
2025-12-09,277.8616326274017
2025-12-10,279.9058358142687
2025-12-11,281.56361374290543
2025-12-12,282.89228666107965
2025-12-15,285.6509324688526
2025-12-16,288.42120904780006
2025-12-17,290.22750515376623
2025-12-18,293.218237254823
2025-12-19,294.60069878039513
2025-12-22,296.2007205171806
2025-12-23,297.173227325199
2025-12-24,299.26044733980984
2025-12-25,300.93777017632743
2025-12-26,303.55682731833474
2025-12-29,305.32177496585916
2025-12-30,307.1399376979212
2025-12-31,309.277401938397
2026-01-01,311.12792914348813
2026-01-02,313.94278404011186
2026-01-05,317.2695855200124
2026-01-06,319.18833738709475
2026-01-07,320.277210398375
2026-01-08,323.6061811275687
2026-01-09,325.80909820009015
